,zip.code,type,num.beds,num.baths,living.area,lot.area,KitchenSqFt,masterbedroomSqFt,age.of.home,myresponse
1,1730,Single Family Home,3,2,2000,0.27,400,130,59,725000
2,1730,Single Family Home,3,2.5,2030,0.93,196,168,45,612500
3,1730,Single Family Home,4,2.5,2912,0.92,484,384,13,1020000
4,1730,Condo/Townhome/Row Home/Co-Op,2,2,1141,0,49,176,4,450000
5,Other,Single Family Home,4,2.5,3487,2.02,361,252,40,1195000
6,Other,Single Family Home,4,3.5,4008,0.46,441,330,0,1629000
7,Other,Single Family Home,5,4.5,5399,0.65,400,345,7,2075000
8,Other,Single Family Home,3,4,2480,0.146900826,400,182,17,885900
9,Other,Single Family Home,4,2,2400,0.92,144,156,67,694950
10,Other,Single Family Home,4,2.5,2829,1.04,144,192,50,756000
11,Other,Condo/Townhome/Row Home/Co-Op,2,2,1200,0,144,168,27,475000
12,Other,Single Family Home,3,1,1008,0.46,90.25,154,63,486000
13,Other,Single Family Home,3,2,1977,0.4,196,143,50,552000
14,Other,Single Family Home,4,2.5,2800,0.172176309,484,280,1,770000
15,Other,Single Family Home,4,3.5,3246,0.28,196,238,31,8.00E+05
16,Other,Single Family Home,3,1,1374,0.092998163,256,165,119,489900
17,Other,Single Family Home,4,3.5,2821,0.36,625,380,59,1095000
18,Other,Single Family Home,3,2,1100,0.092722681,144,180,119,4.00E+05
19,Other,Single Family Home,4,3.5,3600,0.51,576,340,28,597500
20,Other,Single Family Home,3,1,1062,0.23,121,154,58,340000
21,1906,Single Family Home,4,2,2156,0.28,196,144,66,540000
22,1906,Single Family Home,3,1,1664,0.147291093,324,144,89,420000
23,1906,Condo/Townhome/Row Home/Co-Op,1,1,540,0,144,180,55,210000
24,1906,Single Family Home,3,1.5,2556,0.32,225,154,59,510000
25,1906,Single Family Home,3,2,1375,0.172199265,441,352,77,460000
26,1906,Single Family Home,3,1.5,1660,0.20479798,144,209,79,510000
27,Other,Single Family Home,4,3,2063,0.36,169,176,54,703000
28,Other,Single Family Home,3,1.5,2372,0.137741047,225,195,86,525000
29,1945,Single Family Home,4,2.5,3494,0.24,100,285,92,1175000
30,1945,Single Family Home,3,1.5,1800,0.28,289,238,74,555000
31,1945,Single Family Home,4,1.5,1870,0.108838384,225,209,51,539000
32,1945,Single Family Home,5,2.5,2967,0.173668503,529,286,84,730000
33,Other,Single Family Home,3,1.5,2140,0.219995409,196,130,54,455000
34,Other,Condo/Townhome/Row Home/Co-Op,2,2,1002,0,100,204,30,354000
35,Other,Single Family Home,3,2.5,2352,0.172176309,441,208,294,965000
36,Other,Single Family Home,4,2.5,2900,0.5,324,195,94,1510000
37,2045,Condo/Townhome/Row Home/Co-Op,2,2,1075,0,144,126,34,285000
38,2045,Single Family Home,3,1,1316,0.090955005,169,120,109,373000
39,2045,Single Family Home,4,2,1801,0.081955923,441,180,84,570000
40,2045,Condo/Townhome/Row Home/Co-Op,1,1,798,0,196,224,32,395000
41,2052,Single Family Home,4,3.5,2768,1.03,676,247,34,775000
42,2052,Single Family Home,4,2.5,2165,0.48,121,168,48,625000
43,2052,Single Family Home,5,4.5,4700,1.44,169,306,25,1400000
44,2052,Single Family Home,4,2.5,1958,0.54,196,169,55,608000
45,Other,Single Family Home,4,2.5,3000,0.53,324,320,0,1280000
46,Other,Single Family Home,2,1.5,1787,0.48,529,192,219,525000
47,2108,Condo/Townhome/Row Home/Co-Op,2,2,1092,0,144,256,120,1395000
48,2108,Condo/Townhome/Row Home/Co-Op,3,3,2060,0.047291093,49,132,92,1750000
49,2108,Condo/Townhome/Row Home/Co-Op,3,3.5,3013,0,196,288,120,3450000
50,2108,Condo/Townhome/Row Home/Co-Op,2,1.5,2352,0,144,225,120,3.00E+06
51,Other,Condo/Townhome/Row Home/Co-Op,2,2,1208,0.025849403,169,255,32,843900
52,2111,Condo/Townhome/Row Home/Co-Op,1,1,740,0.016988062,81,204,51,7.00E+05
53,2111,Condo/Townhome/Row Home/Co-Op,3,2,1430,0.03285124,100,150,28,1295000
54,2111,Condo/Townhome/Row Home/Co-Op,3,3.5,1862,0.042745638,81,252,19,2127500
55,2111,Condo/Townhome/Row Home/Co-Op,1,1,762,0.017493113,64,154,119,682000
56,2111,Condo/Townhome/Row Home/Co-Op,1,1,765,0.017561983,100,231,52,625000
57,2111,Condo/Townhome/Row Home/Co-Op,2,2,1509,0.034641873,169,450,15,765000
58,2113,Condo/Townhome/Row Home/Co-Op,1,1,410,0,64,72,119,489000
59,2113,Condo/Townhome/Row Home/Co-Op,1,1,537,0.012327824,196,108,119,479000
60,2113,Condo/Townhome/Row Home/Co-Op,2,1,927,0.021280992,100,165,33,940000
61,2113,Condo/Townhome/Row Home/Co-Op,3,1,787,0,121,78,114,715000
62,2114,Condo/Townhome/Row Home/Co-Op,2,1,1040,0.023875115,196,182,120,1017500
63,2114,Condo/Townhome/Row Home/Co-Op,2,1,1009,0.022061524,36,150,109,1070000
64,2114,Single Family Home,3,2.5,3612,0.021671258,144,266,136,3100000
65,2114,Condo/Townhome/Row Home/Co-Op,3,2,1679,0.038544536,81,196,120,1437000
66,2114,Condo/Townhome/Row Home/Co-Op,2,1,560,0.012855831,100,120,169,675000
67,2114,Condo/Townhome/Row Home/Co-Op,1,1,735,0.016873278,81,169,16,349583
68,2114,Single Family Home,3,3,1972,0.014233242,144,143,192,1765000
69,2114,Condo/Townhome/Row Home/Co-Op,1,1,730,0,121,169,120,810000
70,2114,Condo/Townhome/Row Home/Co-Op,2,1,993,0.022796143,121,150,109,1010000
71,2114,Condo/Townhome/Row Home/Co-Op,2,1,780,0.017906336,225,132,84,9.00E+05
72,2114,Single Family Home,4,3.5,3401,0.025,144,221,110,3875000
73,2115,Condo/Townhome/Row Home/Co-Op,3,2,1491,0,169,286,129,1920000
74,2115,Condo/Townhome/Row Home/Co-Op,2,2,1052,0.024150597,64,143,129,1100000
75,2115,Condo/Townhome/Row Home/Co-Op,2,2,1403,0.032208448,121,209,129,1540000
76,2115,Condo/Townhome/Row Home/Co-Op,1,1.5,910,0,256,224,99,758000
77,2116,Condo/Townhome/Row Home/Co-Op,2,1,1200,0,144,182,120,1275000
78,2116,Condo/Townhome/Row Home/Co-Op,1,1,770,0,64,176,129,9.00E+05
79,2116,Condo/Townhome/Row Home/Co-Op,1,1,1029,0,49,234,129,970000
80,2116,Condo/Townhome/Row Home/Co-Op,1,1,411,0,81,88,129,485000
81,2116,Condo/Townhome/Row Home/Co-Op,2,2,1226,0,49,150,129,1149000
82,2116,Condo/Townhome/Row Home/Co-Op,2,2.5,1901,0.043640955,196,260,136,2750000
83,2116,Single Family Home,6,5.5,4820,0.066850321,225,345,120,6700000
84,2116,Condo/Townhome/Row Home/Co-Op,2,2,1300,0,100,192,139,1468000
85,2116,Condo/Townhome/Row Home/Co-Op,1,1,577,0,100,150,134,702000
86,2116,Condo/Townhome/Row Home/Co-Op,1,1,730,0,81,165,139,617500
87,2118,Condo/Townhome/Row Home/Co-Op,1,1,621,0.014256198,169,196,119,680000
88,2118,Condo/Townhome/Row Home/Co-Op,3,3.5,2542,0,144,216,119,2640000
89,2118,Condo/Townhome/Row Home/Co-Op,1,1,595,0,64,156,164,689000
90,2118,Condo/Townhome/Row Home/Co-Op,3,1.5,1999,0,49,414,129,1475000
91,2118,Condo/Townhome/Row Home/Co-Op,3,2,1734,0,196,169,120,1160000
